p05d  100  2  0
1	20	20	2
2	30	40	2
1	37	52	0
2	49	49	0
3	52	64	0
4	20	26	0
5	40	30	0
6	21	47	0
7	17	63	0
8	31	62	0
9	52	33	0
10	51	21	0
11	42	41	0
12	31	32	0
13	5	25	0
14	12	42	0
15	36	16	0
16	52	41	0
17	27	23	0
18	17	33	0
19	13	13	0
20	57	58	0
21	62	42	0
22	42	57	0
23	16	57	0
24	8	52	0
25	7	38	0
26	27	68	0
27	30	48	0
28	43	67	0
29	58	27	0
30	37	69	0
31	38	46	0
32	46	10	0
33	61	33	0
34	62	63	0
35	63	69	0
36	32	22	0
37	45	35	0
38	59	15	0
39	5	6	0
40	10	17	0
41	21	10	0
42	5	64	0
43	30	15	0
44	39	10	0
45	32	39	0
46	25	32	0
47	25	55	0
48	48	28	0
49	56	37	0
50	30	40	0
51	37	52	0
52	49	49	0
53	52	64	0
54	20	26	0
55	40	30	0
56	21	47	0
57	17	63	0
58	31	62	0
59	52	33	0
60	51	21	0
61	42	41	0
62	31	32	0
63	5	25	0
64	12	42	0
65	36	16	0
66	52	41	0
67	27	23	0
68	17	33	0
69	13	13	0
70	57	58	0
71	62	42	0
72	42	57	0
73	16	57	0
74	8	52	0
75	7	38	0
76	27	68	0
77	30	48	0
78	43	67	0
79	58	27	0
80	37	69	0
81	38	46	0
82	46	10	0
83	61	33	0
84	62	63	0
85	63	69	0
86	32	22	0
87	45	35	0
88	59	15	0
89	5	6	0
90	10	17	0
91	21	10	0
92	5	64	0
93	30	15	0
94	39	10	0
95	32	39	0
96	25	32	0
97	25	55	0
98	48	28	0
99	56	37	0
100	30	40	0
