p12d  80  2  0
1	0	0	5
2	110	0	5
1	-10	-10	0
2	-10	0	0
3	-10	10	0
4	0	-10	0
5	0	10	0
6	10	-10	0
7	10	0	0
8	10	10	0
9	-20	-20	0
10	-20	0	0
11	-20	20	0
12	0	-20	0
13	0	20	0
14	20	-20	0
15	20	0	0
16	20	20	0
17	-30	-30	0
18	-30	0	0
19	-30	30	0
20	0	-30	0
21	0	30	0
22	30	-30	0
23	30	0	0
24	30	30	0
25	-40	-40	0
26	-40	0	0
27	-40	40	0
28	0	-40	0
29	0	40	0
30	40	-40	0
31	40	0	0
32	40	40	0
33	-50	-50	0
34	-50	0	0
35	-50	50	0
36	0	-50	0
37	0	50	0
38	50	-50	0
39	50	0	0
40	50	50	0
41	100	-10	0
42	100	0	0
43	100	10	0
44	110	-10	0
45	110	10	0
46	120	-10	0
47	120	0	0
48	120	10	0
49	90	-20	0
50	90	0	0
51	90	20	0
52	110	-20	0
53	110	20	0
54	130	-20	0
55	130	0	0
56	130	20	0
57	80	-30	0
58	80	0	0
59	80	30	0
60	110	-30	0
61	110	30	0
62	140	-30	0
63	140	0	0
64	140	30	0
65	70	-40	0
66	70	0	0
67	70	40	0
68	110	-40	0
69	110	40	0
70	150	-40	0
71	150	0	0
72	150	40	0
73	60	-50	0
74	60	0	0
75	60	50	0
76	110	-50	0
77	110	50	0
78	160	-50	0
79	160	0	0
80	160	50	0
